Program,Year,Period,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Value,CV (%)
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CHENANGO,17,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,81,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CHENANGO,17,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,144,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CORTLAND,23,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,16,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CORTLAND,23,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,11,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CORTLAND,23,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,21,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CORTLAND,23,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,135,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CORTLAND,23,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,70,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CORTLAND,23,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,82,29.8
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CORTLAND,23,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,98,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,CORTLAND,23,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,125,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,HERKIMER,43,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,10,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,HERKIMER,43,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,12,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,HERKIMER,43,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,73,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,HERKIMER,43,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,162,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,HERKIMER,43,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,55,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,HERKIMER,43,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,69,29.8
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,HERKIMER,43,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,86,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,HERKIMER,43,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,87,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,MADISON,53,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,38,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,MADISON,53,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,39,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,MADISON,53,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,100,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,MADISON,53,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,191,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,MADISON,53,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,114,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,MADISON,53,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,128,29.8
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,MADISON,53,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,171,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,MADISON,53,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,171,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONEIDA,65,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,20,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONEIDA,65,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,9,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONEIDA,65,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,125,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONEIDA,65,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,297,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONEIDA,65,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,105,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONEIDA,65,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,152,29.8
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONEIDA,65,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,187,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONEIDA,65,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,152,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONONDAGA,67,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,15,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONONDAGA,67,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,18,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONONDAGA,67,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,78,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONONDAGA,67,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,165,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONONDAGA,67,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,114,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONONDAGA,67,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,111,29.8
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONONDAGA,67,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,168,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,ONONDAGA,67,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,112,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OSWEGO,75,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,19,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OSWEGO,75,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,18,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OSWEGO,75,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,90,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OSWEGO,75,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,119,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OSWEGO,75,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,32,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OSWEGO,75,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,112,29.8
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OSWEGO,75,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,77,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OSWEGO,75,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,87,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OTSEGO,77,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,25,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OTSEGO,77,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,21,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OTSEGO,77,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,95,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OTSEGO,77,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,176,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OTSEGO,77,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,72,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OTSEGO,77,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,107,29.8
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OTSEGO,77,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,106,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,CENTRAL,50,OTSEGO,77,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,142,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,ALBANY,1,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,20,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,ALBANY,1,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,22,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,ALBANY,1,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,37,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,ALBANY,1,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,87,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,ALBANY,1,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,34,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,ALBANY,1,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,71,29.8
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,ALBANY,1,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,49,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,ALBANY,1,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,70,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,FULTON,35,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,2,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,FULTON,35,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,5,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,FULTON,35,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,17,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,FULTON,35,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,48,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,FULTON,35,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,16,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,FULTON,35,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,28,29.8
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,FULTON,35,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,41,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,FULTON,35,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,27,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,MONTGOMERY,57,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,10,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,MONTGOMERY,57,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,28,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,MONTGOMERY,57,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,76,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,MONTGOMERY,57,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,203,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,MONTGOMERY,57,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,68,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,MONTGOMERY,57,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,67,29.8
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,MONTGOMERY,57,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,143,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,MONTGOMERY,57,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,97,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,RENSSELAER,83,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,36,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,RENSSELAER,83,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,22,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,RENSSELAER,83,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,67,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,RENSSELAER,83,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,67,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,RENSSELAER,83,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,63,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,RENSSELAER,83,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,43,29.8
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,RENSSELAER,83,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,69,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,RENSSELAER,83,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,74,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SARATOGA,91,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,17,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SARATOGA,91,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,30,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SARATOGA,91,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,41,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SARATOGA,91,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,99,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SARATOGA,91,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,82,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SARATOGA,91,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,77,29.8
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SARATOGA,91,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,133,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SARATOGA,91,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,94,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SCHENECTADY,93,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,2,64.9
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SCHENECTADY,93,PRACTICES,"PRACTICES, LAND USE, CONSERVATION EASEMENT - NUMBER OF OPERATIONS",TOTAL,7,62
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SCHENECTADY,93,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - NUMBER OF OPERATIONS",TOTAL,4,37.2
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SCHENECTADY,93,PRACTICES,"PRACTICES, LAND USE, CROPLAND, CONVENTIONAL TILLAGE - NUMBER OF OPERATIONS",TOTAL,30,27.1
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SCHENECTADY,93,PRACTICES,"PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - NUMBER OF OPERATIONS",TOTAL,12,35.5
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SCHENECTADY,93,PRACTICES,"PRACTICES, LAND USE, DRAINED BY ARTIFICIAL DITCHES - NUMBER OF OPERATIONS",TOTAL,42,29.8
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SCHENECTADY,93,PRACTICES,"PRACTICES, LAND USE, DRAINED BY TILE - NUMBER OF OPERATIONS",TOTAL,19,27.7
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SCHENECTADY,93,PRACTICES,"PRACTICES, ROTATIONAL OR MGMT INTENSIVE GRAZING - NUMBER OF OPERATIONS",TOTAL,16,41
CENSUS,2017,YEAR,COUNTY,NEW YORK,36,EASTERN,60,SCHOHARIE,95,PRACTICES,"PRACTICES, ALLEY CROPPING & SILVAPASTURE - NUMBER OF OPERATIONS",TOTAL,27,64.9
